,N/A (Born in the US),,,,,,,Before 1950,,,,,,,1950 - 1959,,,,,,,1960 - 1969,,,,,,,1970 - 1979,,,,,,,1980 - 1989,,,,,,,1990 - 1999,,,,,,,2000 - 2009,,,,,,,2010 or later,,,,,,
,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate
us_citizen,119990,71448,11572,121673,175101,64499,8817,33,146,0,48,96,106,0,20,158,24,238,362,74,34,37,151,24,232,584,258,94,0,246,32,297,545,177,24,0,130,13,304,689,301,41,19,104,9,489,444,123,17,132,96,0,127,220,71,15,155,53,0,0,247,62,47
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,27,0,23,0,0,0,0,43,12,92,43,13,0,26,4,0,28,83,26,14,0,8,0,84,92,41,9,0,10,0,18,304,120,38,46,56,0,98,25,39,26,161,77,0,38,125,206,92
-> Celtic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,6287,3345,1139,8425,10263,5777,1098,0,0,0,0,61,0,14,0,62,25,158,104,63,0,17,19,0,41,125,104,0,0,45,0,83,72,148,27,19,30,7,161,152,113,22,17,0,0,56,106,124,20,5,0,0,0,6,0,0,0,0,0,0,0,28,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,38,0,0,36,0,37,11,15,0,0,20,9,0,29,17,0,0,19,0,13,21,5,11,8,10,0,37,75,18,0,44,14,0,73,95,56,7
-> Albanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,39361,6683,699,7355,9596,3511,428,44,103,0,47,13,0,0,148,53,17,108,50,6,0,781,870,53,204,239,81,54,1375,859,271,643,452,191,0,831,1588,187,565,681,275,0,2863,9589,321,4589,11205,3694,493,3601,9037,425,4476,8582,2080,279,1032,1230,37,844,1260,580,23
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,28,93,0,21,22,0,0,270,32,0,80,49,0,0,187,602,0,221,71,0,0,1161,1831,84,581,518,34,20,2322,3594,119,744,1128,471,40,5193,7456,122,2932,4906,1641,138
-> Belorussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,5294,594,35,1157,2345,2513,531,59,0,0,0,83,9,0,172,124,16,58,112,31,0,20,24,0,17,55,0,15,0,39,0,31,209,131,0,119,126,18,103,722,307,50,594,1298,112,971,4398,2348,388,843,697,56,997,3384,1710,278,303,113,9,106,425,217,15
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,39,79,0,0,51,26,14,84,286,0,115,250,101,41,199,371,15,519,1245,306,54,1124,931,50,658,3233,1733,202
-> Bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
